LEMMA,FREQUENCY
think,0.12947
about,0.11622
right,0.08195
there,0.070335
thing,0.062735
there,0.05522
shall,0.047055
where,0.044705
great,0.04389
never,0.0431
sorry,0.04025
thank,0.03358
maybe,0.032495
these,0.02975
night,0.028805
those,0.02843
right,0.028115
first,0.028025
leave,0.027645
right,0.02667
again,0.02627
still,0.02512
hello,0.02277
woman,0.02222
start,0.021815
their,0.020955
guess,0.01994
three,0.019305
place,0.0181
after,0.017415
bring,0.017345
every,0.017315
money,0.01676
watch,0.016755
other,0.016725
house,0.016635
wrong,0.01647
today,0.015275
happy,0.014975
whole,0.01478
break,0.014605
world,0.01455
which,0.014515
party,0.014275
stuff,0.01355
child,0.01301
funny,0.01219
honey,0.01207
sound,0.012055
movie,0.0117
worry,0.011645
marry,0.011615
crazy,0.011455
check,0.011085
ready,0.010885
story,0.010535
drink,0.010165
sleep,0.01015
write,0.010005
phone,0.009725
drive,0.00945
since,0.009295
throw,0.009195
stand,0.009075
learn,0.008575
spend,0.0084
sweet,0.008245
until,0.00821
while,0.0081
month,0.00757
young,0.007355
weird,0.007325
other,0.00713
heart,0.00698
class,0.00694
shoot,0.006885
least,0.006675
under,0.006555
paper,0.00654
catch,0.00645
speak,0.00634
stick,0.006125
point,0.006035
enjoy,0.00603
dance,0.005975
black,0.00585
fight,0.00578
sorry,0.005635
dream,0.00555
water,0.00555
store,0.005535
lunch,0.005525
buddy,0.00548
close,0.005425
steal,0.005365
front,0.005305
ahead,0.005295
pants,0.0052
bitch,0.005195
build,0.005095
table,0.00505
teach,0.00501
touch,0.004955
amaze,0.00489
smell,0.00489
order,0.00483
alone,0.004785
eight,0.004735
seven,0.004695
point,0.00467
small,0.00464
piece,0.004565
white,0.004505
early,0.00446
mouth,0.004415
quite,0.004395
smart,0.00438
yours,0.004355
dress,0.0043
laugh,0.00429
agree,0.004265
space,0.00422
truth,0.004185
idiot,0.004135
scare,0.004095
music,0.004045
screw,0.004
light,0.003985
along,0.00395
sense,0.003945
relax,0.00388
group,0.00383
close,0.003765
freak,0.003735
fault,0.003725
quick,0.00372
shirt,0.003665
power,0.00365
trust,0.003635
fifty,0.003625
human,0.003585
chair,0.0035
begin,0.00346
death,0.00346
while,0.00344
lucky,0.00341
video,0.00338
brain,0.003375
voice,0.003365
drink,0.00336
allow,0.00333
fight,0.003305
tough,0.00327
tooth,0.003255
proud,0.003245
uncle,0.003235
offer,0.003215
floor,0.00317
cream,0.003145
naked,0.00314
clean,0.003105
clear,0.0031
Earth,0.0031
share,0.0031
pizza,0.00306
alive,0.003045
bunch,0.00301
raise,0.00296
swear,0.00294
tired,0.00291
upset,0.00289
smoke,0.00287
Santa,0.002855
count,0.002835
favor,0.002815
cover,0.00281
candy,0.002775
worth,0.002755
state,0.00275
short,0.00274
knock,0.002735
penis,0.002725
third,0.00272
blood,0.00271
prove,0.0027
sport,0.002555
admit,0.00255
uh-oh,0.002545
clown,0.0024
horse,0.002395
mayor,0.002385
dirty,0.002375
carry,0.00237
angry,0.00235
fella,0.00235
reach,0.00235
hurry,0.00231
loser,0.00223
robot,0.00223
folks,0.00218
awful,0.002165
scene,0.002165
trick,0.002165
issue,0.00215
visit,0.00214
honor,0.00214
clean,0.00213
chick,0.00212
grade,0.002095
ought,0.002085
cheat,0.00208
hotel,0.002055
train,0.002045
board,0.00204
giant,0.00202
extra,0.002
field,0.001985
fresh,0.001975
level,0.001975
serve,0.001965
shake,0.001965
check,0.001945
right,0.001945
guest,0.00194
truck,0.001935
silly,0.0019
stink,0.001885
magic,0.00188
plane,0.00188
cause,0.00187
photo,0.00187
madam,0.00185
blame,0.001845
couch,0.00183
price,0.00183
forty,0.001825
waste,0.001825
model,0.001815
whose,0.001815
glass,0.001785
green,0.001785
award,0.00178
court,0.001775
final,0.001775
large,0.001775
salad,0.001775
crime,0.00176
treat,0.00176
taste,0.001755
total,0.001735
twice,0.001705
scary,0.0017
wheel,0.001655
order,0.001635
event,0.00163
quiet,0.00163
color,0.001625
pound,0.00159
juice,0.00158
shame,0.00158
plant,0.001555
towel,0.001555
fancy,0.00153
apple,0.00152
crush,0.001515
peace,0.001515
adult,0.00151
noise,0.00151
super,0.00151
bread,0.001505
plate,0.0015
taste,0.00149
enter,0.00147
study,0.00146
stare,0.001445
actor,0.001435
break,0.00143
prize,0.00143
sneak,0.001425
alone,0.001415
queen,0.001415
judge,0.001405
North,0.001405
often,0.001405
gross,0.00139
smile,0.00139
beach,0.001385
toast,0.00138
paint,0.00137
punch,0.00136
merry,0.00135
blind,0.001345
solve,0.001345
study,0.001345
sugar,0.00134
stage,0.00133
tight,0.00133
angel,0.00132
exist,0.00132
ghost,0.00132
sauce,0.00132
block,0.001315
speed,0.001315
Jesus,0.00131
track,0.00131
press,0.00128
spell,0.001265
alien,0.001255
dream,0.001255
bless,0.00125
fruit,0.001245
sound,0.001235
cheap,0.00123
treat,0.001225
purse,0.001215
ha-ha,0.00121
brown,0.0012
today,0.001195
dress,0.00119
knife,0.001185
judge,0.00118
comic,0.001175
local,0.001175
whore,0.00117
cross,0.001165
sheet,0.001165
split,0.00116
cheer,0.001145
snake,0.001135
steak,0.001115
dance,0.001105
score,0.001105
cover,0.001095
empty,0.001095
truly,0.001095
avoid,0.00109
devil,0.00108
nurse,0.00108
smile,0.00108
radio,0.001075
chase,0.00107
birth,0.001065
coach,0.00106
round,0.00105
guard,0.001045
sixty,0.00104
force,0.001035
ocean,0.00103
above,0.001025
crash,0.001025
sight,0.001025
trash,0.001025
brave,0.00102
climb,0.00102
waste,0.00102
crowd,0.001015
lousy,0.00101
annoy,0.000985
match,0.000985
shave,0.00098
South,0.000975
apart,0.00096
heavy,0.000955
laser,0.000955
clear,0.000945
faith,0.000945
bride,0.00094
cause,0.00094
fifth,0.00094
freak,0.000935
bored,0.00093
bully,0.00093
clock,0.00093
shape,0.00093
style,0.000925
enemy,0.00092
focus,0.00092
lover,0.00092
legal,0.000915
watch,0.000905
pilot,0.0009
exact,0.000895
prank,0.000895
rough,0.00089
stick,0.00089
trade,0.00089
crack,0.00088
smoke,0.00088
swing,0.00087
train,0.00087
alarm,0.000865
kitty,0.000865
snack,0.000865
puppy,0.00086
saint,0.000855
booze,0.00085
quiet,0.00085
aware,0.000845
chest,0.000845
focus,0.000845
mouse,0.000845
glove,0.000835
whale,0.00083
honor,0.00083
panic,0.00083
chain,0.000825
image,0.000825
cable,0.00082
aside,0.000815
stone,0.000815
light,0.0008
scout,0.0008
skill,0.000785
stuff,0.000775
choke,0.000765
bacon,0.00076
theme,0.000755
punch,0.00075
